int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,19150,0,1,1
0,1,19150,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
0,0,0,138,0,1
