int rst,int start,int in,int out,int error,int done
0,0,0,0,1,1
0,0,0,0,1,1
0,0,6049,0,1,1
0,1,6049,0,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
0,0,0,77,0,1
